name,neighbourhood,latitude,longitude,price,minimum_nights,PricePerNight,Price_CAD
Oshiage Holiday Apartment,Sumida Ku,35.71707,139.82608,11000,3,3666.6666666666665,36.446666666666665
＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No3 ドミトリールーム,Shinjuku Ku,35.69872,139.70276,5727,2,2863.5,28.463189999999997
5 mins Shibuya Cat modern sunny  Shimokita,Setagaya Ku,35.658,139.67134,17003,1,17003.0,169.00982
Unique stay! New&1min to the subway,Shibuya Ku,35.65111,139.72165,50710,7,7244.285714285715,72.0082
Designer's Flat - Shibuya YOYOGI park 10mins #1,Shibuya Ku,35.66339,139.68741,16835,2,8417.5,83.66995
#411 Private Cozy Apt. in Tokyo,Nakano Ku,35.73404,139.63128,8674,3,2891.3333333333335,28.739853333333333
SHIBUYA 7 MINS  AMAZING HOST（for woman only）,Setagaya Ku,35.60742,139.67616,6000,3,2000.0,19.88
Designer's Flat - Shibuya YOYOGI park 10mins No.2,Shibuya Ku,35.66339,139.68741,15895,2,7947.5,78.99815
Private Cozy Apt in Tokyo 413,Nakano Ku,35.73445,139.63139,8674,3,2891.3333333333335,28.739853333333333
3rd floor penthouse @ heart of TKO,Shinjuku Ku,35.70263,139.74147,56143,2,28071.5,279.03071
Heart of Shinjuku/Free Pocket Wifi/Homey^^,Shinjuku Ku,35.69346,139.70823,10000,2,5000.0,49.699999999999996
＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) B,Shinjuku Ku,35.69857,139.704,5850,2,2925.0,29.074499999999997
＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) A,Shinjuku Ku,35.69848,139.70432,5850,2,2925.0,29.074499999999997
＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No1 ドミトリールーム,Shinjuku Ku,35.69847,139.70433,5727,2,2863.5,28.463189999999997
＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No4 シェアルーム,Shinjuku Ku,35.69848,139.70433,5727,2,2863.5,28.463189999999997
#312 Furnished Private Apt.,Nakano Ku,35.7348,139.63141,10676,3,3558.6666666666665,35.37314666666666
"cute room, safty residential area in west-Tokyo",Setagaya Ku,35.65897,139.60988,3300,2,1650.0,16.401
Shinjuku Hyakunincho 3mins to JR station,Shinjuku Ku,35.70035,139.6967,14943,2,7471.5,74.26670999999999
Enjoy a unique house in a green residential area!,Setagaya Ku,35.65933,139.60847,3300,2,1650.0,16.401
羽根木の森の部屋,Setagaya Ku,35.66432,139.65839,9500,4,2375.0,23.607499999999998
Enjoy local life in Tokyo,Ota Ku,35.56976,139.69158,5000,3,1666.6666666666667,16.566666666666666
Stylish Apartment in Tokyo with Rooftop & Blue Sky,Setagaya Ku,35.63858,139.64624,30457,4,7614.25,75.685645
5BR Diplomat house 2mins to JRstn. UrbanZenRetreat,Ota Ku,35.58862,139.72755,150000,3,50000.0,496.99999999999994
Spacious! Shibuya House w/Garden,Shibuya Ku,35.67191,139.68367,29000,1,29000.0,288.26
＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No5 シェアルーム,Shinjuku Ku,35.69847,139.70433,4906,2,2453.0,24.38282
＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No2 ドミトリールーム,Shinjuku Ku,35.69848,139.70433,5727,2,2863.5,28.463189999999997
＊新宿・大久保徒歩圏内＊個室5人まで同料金&最大8人まで同室貸切！,Shinjuku Ku,35.69848,139.70433,21286,2,10643.0,105.79141999999999
東京下町生活,Taito Ku,35.72208,139.78049,22043,1,22043.0,219.10742
"""HirooHouse""3Rm, 6 guests, 2minWalk/HIROO Stn.",Shibuya Ku,35.65174,139.72175,34106,5,6821.2,67.80272799999999
SHITAMACHI BASE/Quiet new apt.room101/skytree view,Sumida Ku,35.71865,139.81069,11429,1,11429.0,113.60426
AM's House(501)  with a 24-hour co-working space!,Toshima Ku,35.73006,139.73093,9571,3,3190.3333333333335,31.71191333333333
Green Apart Right In Shimokitazawa 2min walk!!,Setagaya Ku,35.66106,139.66859,16571,2,8285.5,82.35786999999999
"PIC UP SRVC PROVIDED, 1 MINU TO GROCERY STORE",Taito Ku,35.7223,139.80049,9000,5,1800.0,17.892
near shibuya quiet residential area,Setagaya Ku,35.65191,139.66968,9980,1,9980.0,99.20119999999999
Tokyo Skytree Flat (2 Bedroom)for Family or Couple,Sumida Ku,35.71285,139.81568,9000,1,9000.0,89.46
Modern Japanese house w/ garden,Toshima Ku,35.72784,139.73408,22086,3,7362.0,73.17828
Yanesen  Traditional Nagaya house,Taito Ku,35.72024,139.76607,16014,3,5338.0,53.05972
1 hour from the airport.,Taito Ku,35.7242,139.77766,4500,1,4500.0,44.73
"Shibuya, near Harajuku 2BR (MDS2BR)",Shibuya Ku,35.67205,139.67877,31000,3,10333.333333333334,102.71333333333332
