neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,price_cad,count
Cuauhtémoc,19.40444,-99.16269,Shared room,97,1,362,6.2856,221
Cuauhtémoc,19.40354,-99.16188,Shared room,97,1,362,6.2856,221
Cuauhtémoc,19.40548,-99.16198,Shared room,105,1,361,6.803999999999999,221
Cuauhtémoc,19.40444,-99.16269,Shared room,119,1,360,7.7112,221
Cuauhtémoc,19.40527,-99.16192,Shared room,122,1,365,7.9056,221
Cuauhtémoc,19.40444,-99.16269,Shared room,127,1,365,8.2296,221
Cuauhtémoc,19.41165,-99.18029,Shared room,142,1,364,9.2016,221
Miguel Hidalgo,19.40401,-99.17576,Shared room,144,1,364,9.331199999999999,221
Miguel Hidalgo,19.4041,-99.17382,Shared room,144,1,364,9.331199999999999,221
Cuauhtémoc,19.41074,-99.179596,Shared room,146,1,364,9.460799999999999,221
Cuauhtémoc,19.41074,-99.179596,Shared room,146,1,89,9.460799999999999,221
Cuauhtémoc,19.40549,-99.17547,Shared room,150,1,365,9.719999999999999,221
Cuauhtémoc,19.41074,-99.179596,Shared room,152,1,350,9.849599999999999,221
Cuauhtémoc,19.41074,-99.179596,Shared room,152,1,361,9.849599999999999,221
Cuauhtémoc,19.40644,-99.17504,Shared room,154,1,365,9.979199999999999,221
Miguel Hidalgo,19.40427,-99.17411,Shared room,156,1,365,10.108799999999999,221
Cuauhtémoc,19.44277699,-99.14176549,Private room,158,1,363,10.238399999999999,7153
Cuauhtémoc,19.44252728,-99.1406334,Private room,158,1,364,10.238399999999999,7153
Cuauhtémoc,19.44153254,-99.14106153,Private room,158,1,364,10.238399999999999,7153
Cuauhtémoc,19.44084289,-99.14098375,Private room,158,1,363,10.238399999999999,7153
Cuauhtémoc,19.44103091,-99.13978331,Private room,158,1,364,10.238399999999999,7153
Cuauhtémoc,19.427097,-99.150787,Shared room,166,1,339,10.7568,221
Cuauhtémoc,19.42613,-99.14969,Shared room,166,1,341,10.7568,221
Cuauhtémoc,19.44220207,-99.14017036,Private room,173,1,365,11.2104,7153
Cuauhtémoc,19.44068355,-99.14129219,Private room,173,1,365,11.2104,7153
Cuauhtémoc,19.44097472,-99.1401142,Private room,173,1,360,11.2104,7153
Cuauhtémoc,19.40373,-99.16415,Private room,174,2,362,11.2752,7153
Cuauhtémoc,19.40386,-99.16356,Private room,175,1,358,11.34,7153
