id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71707,139.82608,Entire home/apt,11000,3,168,2022-12-07,1.22,1,120,3,M130003350
5080877,Decoboco( Artist's Studio  the second floor),21769906,Decoboco,,Koto Ku,35.68162,139.81859,Entire home/apt,6500,1,234,2020-02-27,2.43,2,0,0,Hotels and Inns Business Act | 江東区保健所 | ３０江健生環き第８５号
776070,Kero-kero house room 1,801494,Kei,,Kita Ku,35.73844,139.76917,Private room,9341,3,230,2022-07-09,1.87,1,212,2,M130000243
5128293,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No3 ドミトリールーム,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70276,Shared room,5727,2,144,2022-12-25,1.50,11,165,10,M130002186
1016831,5 mins Shibuya Cat modern sunny  Shimokita,5596383,Wakana,,Setagaya Ku,35.658,139.67134,Private room,17003,1,224,2022-12-25,1.89,1,67,13,M130001107
5198467,Wonderful Japanese style OTOME! (*´ω｀),25911199,Aya,,Bunkyo Ku,35.72129,139.76323,Entire home/apt,29500,3,39,2022-11-30,0.41,1,287,4,M130017222
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74475,139.79731,Private room,40000,2,95,2020-03-17,0.83,1,88,0,M130007760
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,50710,7,110,2022-11-22,0.97,1,111,8,M130000957
5210118,Designer's Flat - Shibuya YOYOGI park 10mins #1,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,16835,2,228,2021-07-10,2.42,4,0,0,M130005397
5217466,#411 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73404,139.63128,Entire home/apt,8674,3,89,2022-11-30,0.93,9,86,2,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,,Setagaya Ku,35.60742,139.67616,Private room,6000,3,185,2019-12-31,1.60,1,59,0,M130000057
5240174,Designer's Flat - Shibuya YOYOGI park 10mins No.2,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,15895,2,195,2021-12-30,2.07,4,0,1,M130005396
1298200,Pine House 2 Bed Room + 2 Toilets,6606987,K & N,,Katsushika Ku,35.73987,139.85176,Entire home/apt,13786,1,349,2022-12-22,3.01,3,21,9,M130009943
5262640,Private Cozy Apt in Tokyo 413,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73445,139.63139,Entire home/apt,8674,3,53,2022-12-02,0.56,9,86,1,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
